Traditional	Study Order	Pinyin	Meaning	Story
能	1432	néng	Ability	The moon and meat unite to create ability, asking "Nung? Capable?" curiously!
態	1433	tài	Attitude	See how the heart forms attitude? It shouts "Tigh!" sharply!
寅	1434	yín	Sign Of The Tiger	The roof takes the shape of sign of the tiger, asking "Yin? 3am-5am?" curiously!
演	1435	yǎn	to perform	The water stands for to perform, whispering "Yahn" softly like ripples spreading across a pond!
辰	1436	chén	Sign Of The Dragon	Picture sign of the dragon taking form - it shouts "Chun?" with vivid energy!
晨	1437	chén	Morning	"Chun, is it dawn?" The sun and dragon sign questioned morning curiously - daybreak, the morrow!
農	1438	nóng	Agriculture	The strokes unite to show agriculture, asking "Nohng? Farming?" curiously!
濃	1439	nóng	concentrated	See how the water forms concentrated? It asks "Nohng? Thick?" curiously!
送	1440	sòng	to deliver	"Sohng!" The road commanded to give sharply - see off, send and dispatch for delivery!
鬼	1441	guǐ	Ghost	Picture ghost taking form - it asks "Gway" with vivid energy!
魔	1442	mó	Demon	The strokes unite to show demon, asking "Mwo? Devil?" curiously!
塊	1443	kuài	Lump	A striking symbol for lump that shouts "Kwigh!" sharply - a vivid image to remember!
龍	1444	lóng	Dragon	A striking symbol for dragon that asks "Lohng? Imperial?" curiously!
襲	1445	xí	to raid	This character represents to raid, asking "Shee, should we attack?" curiously!
兒	1446	ér	Youngster	The strokes unite to show youngster, asking "Urr? Son?" curiously!
舊	1447	jiù	old	The strokes unite to show old, shouting "Jyo!" sharply - a vivid image to remember!
寫	1448	xiě	to write	A striking symbol for to write that whispers "Shyeh" softly!
瀉	1449	xiè	Diarrhea	See how the water forms diarrhea? It shouts "Shyeh!" sharply!
兩	1450	liǎng	dos	A striking symbol for dos that whispers "Lyahng" softly - a vivid image to remember!
倆	1451	liǎ	Duo	The person stands for duo, whispering "Lyah" softly - a vivid image to remember!
滿	1452	mǎn	full	The water stands for full, whispering "Mahn" softly like ripples spreading across a pond!
爾	1453	ěr	you  [literary]	The strokes unite to show you [literary], whispering "Urr" softly!
彌	1454	mí	to fill	"Mee, is it full?" The bow questioned filling you curiously - more and more!
虛	1455	xū	false	This character represents false, singing "Shyoo!" cheerfully!
聯	1456	lián	to unite	"Lyan, should we join?" The ear questioned connection curiously - to unite as allies strung together!
關	1457	guān	to shut	"Gwahn!" The gate united cheerfully - time to shut, close, turn off the connection!
那	1458	nà	that	This character represents that, shouting "Nah!" sharply - a vivid image to remember!
哪	1459	nǎ	which?	Like a mouth, this character means which? and whispers "Nah"!
巫	1460	wū	Witch	See how the person forms witch? It sings "Woo!" cheerfully - a vivid image to remember!
靈	1461	líng	Spirit	The rain stands for spirit, asking "Ling? Soul?" curiously - a vivid image to remember!
縣	1462	xiàn	County	When the thread meets the eye, they form county, shouting "Shyan!" sharply!
懸	1463	xuán	to suspend	The heart stands for to suspend, asking "Shyuan, is it hanging?" curiously!
與	1464	yǔ	to offer	A striking symbol for to offer that whispers "Yoo" softly - a vivid image to remember!
舉	1465	jǔ	to lift up	This character represents to lift up, whispering "Jyoo" softly!
腦	1466	nǎo	Brain	The body takes the shape of brain, whispering "Nao" softly - a vivid image to remember!
惱	1467	nǎo	Annoyed	Like a heart, this character means annoyed and whispers "Nao"!
專	1468	zhuān	Specialty	A striking symbol for specialty that sings "Jwahn!" cheerfully!
傳	1469	chuán	to spread	"Chwahn, will it infect?" The person's specialty questioned spreading curiously - transmit and conduct!
轉	1470	zhuàn	to rotate	"Jwahn!" The car with specialty commanded sharply to rotate - revolve, turn in a circle!
團	1471	tuán	Troupe	This character represents troupe, asking "Twahn? Regiment?" curiously!
黃	1472	huáng	yellow	Picture yellow taking form - it shouts "Hwahng? Golden?" with vivid energy!
廣	1473	guǎng	extensive	Picture extensive taking form - it shouts "Gwahng" with vivid energy!
橫	1474	héng	horizontal	The tree takes the shape of horizontal, shouting "Hung!" sharply!
窗	1475	chuāng	Window	The window stands for window, singing "Chwahng!" cheerfully!
總	1476	zǒng	general	The thread stands for general, whispering "Dzohng" softly - a vivid image to remember!
詹	1477	zhān	verbose	Picture verbose taking form - it sings "Jahn!" with vivid energy!
擔	1478	dàn	to assume	"Dahn!" The verbose hand commanded sharply to assume - carry, bear, undertake shouldering!
數	1479	shù	Number	The strokes unite to show number, shouting "Shoo!" sharply - a vivid image to remember!
樓	1480	lóu	Multistory Building	"Loh, how many floors?" The tree questioned numbers curiously - a multistory building, a watchtower!
獨	1481	dú	alone	The strokes unite to show alone, singing "Doo? Single?" cheerfully!
屬	1482	shǔ	to belong to	The body takes the shape of to belong to, whispering "Shoo" softly!
爛	1483	làn	spoiled	The fire stands for spoiled, shouting "Lahn!" sharply with flickering flames dancing high!
蘭	1484	lán	Orchid	This character represents orchid, asking "Lahn? Elegant?" curiously!
從	1485	cóng	to follow	"Tsohng, should we obey?" Person questioned person curiously - time to follow and accompany!
縱	1486	zòng	vertical	See how the thread forms vertical? It shouts "Dzohng!" sharply!
齊	1487	qí	identical	An striking symbol for identical that asks "Chee? Equal?" curiously!
濟	1488	jì	to relieve	"Jee!" Identical water commanded sharply to relieve - help, aid and finish!
丑	1489	chǒu	Clown	Picture clown taking form - it whispers "Choh" with vivid energy!
扭	1490	niǔ	to twist	Like a hand, this character means to twist and whispers "Nyoh"!
卑	1491	bēi	lowly	A striking symbol for lowly that sings "Bay!" cheerfully - a vivid image to remember!
牌	1492	pái	a Brand	The strokes unite to show a brand, asking "Pigh? Signboard?" curiously!
號	1493	hào	Appellation	See how the mouth forms appellation? It shouts "Hao!" sharply!
怪	1494	guài	peculiar	The heart stands for peculiar, shouting "Gwigh!" sharply - a vivid image to remember!
赤	1495	chì	crimson	Like fire, this character means crimson and shouts "Chir!"!
亦	1496	yì	likewise	This character represents likewise, shouting "Yee!" sharply!
極	1497	jí	Extreme	Like a tree, this character means extreme and asks "Jee? Utmost?"!
雜	1498	zá	miscellaneous	This character represents miscellaneous, asking "Dzah? Mixed?" curiously!
曰	1499	yuē	sayeth	The mouth stands for sayeth, singing "Yueh!" cheerfully spoken through parted lips!
亂	1500	luàn	Chaos	This character represents chaos, shouting "Lwahn!" sharply - a vivid image to remember!
叭	1501	bā	trumpet	Picture a horn beside a mouth: that's trumpet, singing "Bah!" cheerfully!
咕	1502	gū	mutter	See how the mouth forms mutter? It sings "Goo!" cheerfully spoken through parted lips!
咱	1503	zán	we (inclusive)	"Dzahn, are we together?" The mouth questioned ownership curiously - we inclusive, us all!
串	1504	chuàn	string together	The skewers stand for string together, shouting "Chwahn!" sharply!
罩	1505	zhào	overspread	An striking symbol for overspread that shouts "Jao!" sharply!
囂	1506	xiāo	hubbub	The strokes unite to show hubbub, singing "Shyao!" cheerfully!
顛	1507	diān	invert	This character represents invert, singing "Dyan!" cheerfully!
叨	1508	dāo	talkative	Picture a knife beside a mouth: that's talkative, singing "Dao!" cheerfully!
刮	1509	guā	scrape	Picture a knife beside a tongue: that's scrape, singing "Gwah!" cheerfully!
盯	1510	dīng	stare at	"Ding!" The eye like a nail sang cheerfully - staring at something, gazing fixedly!
呵	1511	ā	rebuke	Like a mouth, this character means rebuke and sings "Ah!" spoken through parted lips!
姦	1512	jiān	adultery	An striking symbol for adultery that sings "Jyan!" cheerfully!
嬰	1513	yīng	baby	The strokes unite to show baby, singing "Ying!" cheerfully - a vivid image to remember!
姑	1514	gū	father's sister	This character represents father's sister, singing "Goo!" cheerfully!
姆	1515	mǔ	nanny	Picture nanny taking form - it whispers "Moo" with vivid energy!
兢	1516	jīng	cautious	This character represents cautious, singing "Jing!" cheerfully!
碩	1517	shuò	big	The stone stands for big, shouting "Shwoh!" sharply - a vivid image to remember!
砌	1518	qì	lay brick	"Chee!" Stone together commanded sharply - lay brick for building a wall!
哨	1519	shào	whistle	See how the mouth forms whistle? It shouts "Shao!" sharply spoken through parted lips!
晃	1520	huàng	sway	The sun takes the shape of sway, shouting "Hwahng!" sharply!
泊	1521	bó	moor	The white and water unite to create moor, asking "Bwo? Anchor?" curiously!
汰	1522	tài	get rid of	The water takes the shape of get rid of, shouting "Tigh!" sharply!
沾	1523	zhān	soak	The water takes the shape of soak, singing "Jahn!" cheerfully!
渺	1524	miǎo	insignificant	Picture water beside an eye: that's insignificant, whispering "Myao" softly!
腺	1525	xiàn	gland	The body stands for gland, shouting "Shyan!" sharply - a vivid image to remember!
坦	1526	tǎn	level	See how the earth forms level? It whispers "Tahn" softly - a vivid image to remember!
娃	1527	wá	newborn	This character represents newborn, asking "Wah? Baby?" curiously!
涯	1528	yá	bank	See how the water forms bank? It asks "Yah? Riverbank?" curiously!
吋	1529	cùn	inch	See how the mouth forms inch? It shouts "Tsoon!" sharply spoken through parted lips!
肘	1530	zhǒu	elbow	See how the body forms elbow? It whispers "Joh" softly - a vivid image to remember!
灼	1531	zhuó	scorch	The fire stands for scorch, asking "Jwoh? Burn?" curiously with flickering flames dancing high!
炒	1532	chǎo	stir-fry	See how the fire forms stir-fry? It sings "Chao" cheerfully!
澆	1533	jiāo	sprinkle	See how the water forms sprinkle? It sings "Jyao!" cheerfully!
哩	1534	lǐ	mile	The mouth takes the shape of mile, whispering "Lee" softly spoken through parted lips!
鯉	1535	lǐ	carp	Picture carp taking form - it whispers "Lee" with vivid energy!
嘿	1536	hēi	Hey!	The mouth stands for hey!, singing "Hay!" cheerfully spoken through parted lips!
丹	1537	dān	cinnabar red	This character represents cinnabar red, singing "Dahn!" cheerfully!
喧	1538	xuān	boisterous	The mouth stands for boisterous, singing "Shyuan!" cheerfully!
賓	1539	bīn	visitor	The shellfish and roof unite to create visitor, singing "Bin!" cheerfully!
濱	1540	bīn	water's edge	The water takes the shape of water's edge, singing "Bin!" cheerfully!
寡	1541	guǎ	widowed	The strokes unite to show widowed, whispering "Gwah" softly!
棚	1542	péng	shed	Picture a tree beside a shelter: that's shed, asking "Pung? Shelter?" curiously!
柏	1543	bǎi	cypress	Picture a tree beside a white: that's cypress, whispering "Bigh" softly!
槓	1544	gàng	thick stick	"Gahng!" Tree and work commanded sharply - a thick stick, pole or bar!
朵	1545	duǒ	flouds	A striking symbol for flouds that whispers "Dwoh" softly - a vivid image to remember!
杜	1546	dù	prevent	The earth and tree unite to create prevent, shouting "Doo!" sharply!
桂	1547	guì	cassia-bark tree	Like a tree, this character means cassia-bark tree and shouts "Gway!"!
椅	1548	yǐ	chair	The tree stands for chair, whispering "Yee" softly - a vivid image to remember!
杰	1549	jié	hero	The tree stands for hero, asking "Jyeh? Exceptional?" curiously!
櫻	1550	yīng	cherry	See how the tree forms cherry? It sings "Ying!" cheerfully - a vivid image to remember!
梢	1551	shāo	treetops	The tree takes the shape of treetops, singing "Shao!" cheerfully!
桐	1552	tóng	paulownia	With a tree combined with a wood, you get paulownia - "Tohng? Lumber?" rings out curiously!
宋	1553	sòng	Song (like the dynasty)	See how the wood forms song (like the dynasty)? It shouts "Sohng!" sharply!
淋	1554	lín	drench	With rain combined with water, you get drench - "Lin? Soak?" rings out curiously!
焚	1555	fén	burn	Like fire, this character means burn and asks "Fen? Blaze?"!
昧	1556	mèi	obscure	See how the sun forms obscure? It shouts "May!" sharply as sunlight streams across the sky!
朱	1557	zhū	vermillion	With a tree combined with a dot, you get vermillion - "Joo!" rings out cheerfully!
株	1558	zhū	tree trunk	"Joo!" Vermillion tree sang cheerfully - the tree trunk, stem or stump!
樑	1559	liáng	roof beam	"Lyahng, is it supporting?" Good tree questioned curiously - a roof beam or rafter!
碟	1560	dié	saucer	"Dyeh, is it a plate?" Stone family tree questioned curiously - a saucer, flying saucer dish!
萌	1561	méng	bud	Picture bud taking form - it asks "Mung? Sprout?" with vivid energy!
苛	1562	kē	exacting	Picture exacting taking form - it sings "Kuh!" with vivid energy!
膜	1563	mó	membrane	See how the body forms membrane? It asks "Mwo? Thin layer?" curiously!
寞	1564	mò	solitary	Picture solitary taking form - it shouts "Mwo!" with vivid energy!
暮	1565	mù	sunset	See how the sun forms sunset? It shouts "Moo!" sharply as sunlight streams across the sky!
燃	1566	rán	ignite	See how the fire forms ignite? It asks "Rahn? Kindle?" curiously!
咒	1567	zhòu	curse	See how the mouth forms curse? It shouts "Joh!" sharply spoken through parted lips!
獸	1568	shòu	beast	The mouth stands for beast, shouting "Shoh!" sharply spoken through parted lips!
狸	1569	lí	raccoon dog	"Lee, is that a tanuki?" The inside of the dog questioned raccoon curiously - fox-like!
嗅	1570	xiù	sniff	The mouth stands for sniff, shouting "Shyo!" sharply spoken through parted lips!
牡	1571	mǔ	dude	Like soil, this character means dude and whispers "Moo" - a vivid image to remember!
牢	1572	láo	jail	See how the roof forms jail? It asks "Lao? Prison?" curiously!
贊	1573	zàn	succor	The shellfish stands for succor, shouting "Dzahn!" sharply - a vivid image to remember!
舍	1574	shè	abode	When the tongue meets the roof, they form abode, shouting "Shuh!" sharply!
啥	1575	shá	wha?	The mouth stands for wha?, asking "Shah? What?" curiously spoken through parted lips!
洽	1576	qià	in agreement	"Chyah!" Water fit commanded sharply - in agreement, harmonious accord!
旺	1577	wàng	thriving	The sun takes the shape of thriving, shouting "Wahng!" sharply!
碧	1578	bì	green jade	The stone stands for green jade, shouting "Bee!" sharply - a vivid image to remember!
汪	1579	wāng	tearful	See how the water forms tearful? It sings "Wahng!" cheerfully!
枉	1580	wǎng	crooked	The tree takes the shape of crooked, whispering "Wahng" softly!
珠	1581	zhū	pearl	Picture pearl taking form - it sings "Joo!" with vivid energy!
噩	1582	è	shocking	A striking symbol for shocking that shouts "Uh!" sharply - a vivid image to remember!
鱷	1583	è	crocodile	Picture crocodile taking form - it shouts "Uh!" with vivid energy!
鬥	1584	dòu	fight	This character represents fight, shouting "Doh!" sharply - a vivid image to remember!
栓	1585	shuān	plug	The tree takes the shape of plug, singing "Shwahn!" cheerfully!
柱	1586	zhù	pillar	The tree stands for pillar, shouting "Joo!" sharply - a vivid image to remember!
鉤	1587	gōu	hook	When the hook meets the metal, they form hook, singing "Goh!" cheerfully!
鈔	1588	chāo	paper money	"Chao!" Few pieces of metal sang cheerfully - paper money, banknotes, currency!
銷	1589	xiāo	put up for sale	The metal stands for put up for sale, singing "Shyao!" cheerfully!
鎖	1590	suǒ	lock	The metal stands for lock, whispering "Swoh" softly - a vivid image to remember!
鑽	1591	zuān	drill	See how the metal forms drill? It sings "Dzwahn!" cheerfully!
迫	1592	pò	compel	The white takes the shape of compel, shouting "Pwoh!" sharply!
逼	1593	bī	press	Picture press taking form - it sings "Bee!" with vivid energy!
逃	1594	táo	escape	An striking symbol for escape that asks "Tao? Flee?" curiously!
逞	1595	chěng	flaunt	The strokes unite to show flaunt, whispering "Chung" softly!
轟	1596	hōng	rumble	The strokes unite to show rumble, singing "Hohng!" cheerfully!
軌	1597	guǐ	rails	The strokes unite to show rails, whispering "Gway" softly - a vivid image to remember!
軋	1598	yà	flatten	Picture flatten taking form - it shouts "Yah!" with vivid energy!
輻	1599	fú	spokes	This character represents spokes, asking "Foo? Radiating?" curiously!
煎	1600	jiān	sauté	See how the fire forms sauté? It sings "Jyan!" cheerfully with flickering flames dancing high!
喻	1601	yù	figure of speech	Like a mouth, this character means figure of speech and shouts "Yoo!"!
榆	1602	yú	elm	The tree takes the shape of elm, asking "Yoo? Timber?" curiously!
略	1603	lüè	abbreviation	The field stands for abbreviation, shouting "Lyueh!" sharply!
暈	1604	yūn	dizzy	See how the sun forms dizzy? It sings "Yoon!" cheerfully as sunlight streams across the sky!
渾	1605	hún	muddled	The water takes the shape of muddled, asking "Hwun? Batter?" curiously!
膏	1606	gāo	ointment	"Gao!" The Eiffel tower of flesh sang cheerfully - ointment, salve or cream!
亨	1607	hēng	go smoothly	"Hung!" High lid sang cheerfully - to go smoothly, prosperous and unobstructed!
哼	1608	hēng	hum	Like a mouth, this character means hum and sings "Hung!" spoken through parted lips!
淳	1609	chún	honest	The water stands for honest, asking "Chwun? Sincere?" curiously!
鯨	1610	jīng	whale	A striking symbol for whale that sings "Jing!" cheerfully - a vivid image to remember!
贖	1611	shú	redeem	See how the shellfish forms redeem? It asks "Shoo? Atone?" curiously!
晝	1612	zhòu	daylight	Picture daylight taking form - it shouts "Joh!" with vivid energy!
津	1613	jīn	Tianjin	Like water, this character means tianjin and sings "Jin!" like ripples spreading across a pond!
釐	1614	lí	smidgen	The strokes unite to show smidgen, asking "Lee? Tiny?" curiously!
枚	1615	méi	small objects	"May, how many items?" The tree questioned the taskmaster curiously - small objects, a classifier!
牧	1616	mù	herd	This character represents herd, shouting "Moo!" sharply - a vivid image to remember!
玫	1617	méi	rose	Picture rose taking form - it asks "May? Flower?" with vivid energy!
敦	1618	dūn	candid	Picture candid taking form - it sings "Dwun!" with vivid energy!
諾	1619	nuò	promise	A striking symbol for promise that shouts "Nwoh!" sharply - a vivid image to remember!
謂	1620	wèi	meaning	A striking symbol for meaning that shouts "Way!" sharply - a vivid image to remember!
詢	1621	xún	inquire	The strokes unite to show inquire, asking "Shyoon? Ask?" curiously!
罰	1622	fá	penalize	This character represents penalize, asking "Fah? Fine?" curiously!
訂	1623	dìng	place an order	The nail takes the shape of place an order, shouting "Ding!" sharply!
詠	1624	yǒng	chant	Picture chant taking form - it sings "Yohng" with vivid energy!
諜	1625	dié	espionage	See how the tree forms espionage? It asks "Dyeh, is that a spy?" curiously!
註	1626	zhù	annotate	The strokes unite to show annotate, shouting "Joo!" sharply!
諒	1627	liàng	forgive	"Lyahng!" Words about roof beam commanded sharply - forgiveness, excuse and pardon!
讚	1628	zàn	praise	"Dzahn!" Words with two shellfish commanded sharply - praise, compliments and likes!
貳	1629	èr	II	II two shellfish commands sharply "Urr!" - number two formal!
膩	1630	nì	sick and tired of	Like a body, this character means sick and tired of and shouts "Nee!"!
洩	1631	xiè	discharge	Like water, this character means discharge and shouts "Shyeh!"!
划	1632	huá	paddle	With a knife combined with a stroke, you get paddle - "Hwah? Row?" rings out curiously!
嘎	1633	gá	caw	The mouth takes the shape of caw, asking "Gah? What doing?" curiously!
域	1634	yù	domain	Like soil, this character means domain and shouts "Yoo!" - a vivid image to remember!
栽	1635	zāi	sow	The strokes unite to show sow, singing "Dzigh!" cheerfully - a vivid image to remember!
戚	1636	qī	kin	Picture kin taking form - it sings "Chee!" with vivid energy!
蔑	1637	miè	despise	The strokes unite to show despise, shouting "Myeh!" sharply!
喊	1638	hǎn	yell	The mouth stands for yell, shouting "Hahn" sharply spoken through parted lips!
濺	1639	jiàn	splatter	The water stands for splatter, shouting "Jyan!" sharply like ripples spreading across a pond!
址	1640	zhǐ	address	The soil takes the shape of address, whispering "Jir" softly!
澀	1641	sè	astringent	The water stands for astringent, shouting "Suh!" sharply like ripples spreading across a pond!
蘋	1642	píng	apple	An striking symbol for apple that asks "Ping? Fruit?" curiously!
赴	1643	fù	go to	A striking symbol for go to that shouts "Foo!" sharply - a vivid image to remember!
趟	1644	tàng	trip	A striking symbol for trip that shouts "Tahng!" sharply - a vivid image to remember!
堤	1645	tí	dike	"Tee, is this a dam?" Soil questioned being curiously - a dike, embankment or levee!
鍵	1646	jiàn	keyboard keys	"Jyan!" Metal building commanded sharply - keyboard keys, buttons for typing!
婿	1647	xù	son-in-law	The moon takes the shape of son-in-law, shouting "Shyoo!" sharply!
裁	1648	cái	tailor	This character represents tailor, asking "Tsigh? Cut?" curiously!
襪	1649	wà	socks	See how the foot forms socks? It shouts "Wah!" sharply - a vivid image to remember!
滾	1650	gǔn	trundle	See how the water forms trundle? It whispers "Gwun" softly like ripples spreading across a pond!
衰	1651	shuāi	decline	"Shwigh!" Grief and walking stick sang cheerfully - decline, weakening and deteriorating!
衷	1652	zhōng	innermost feelings	When the stick meets the heart, they form innermost feelings, singing "Johng!" cheerfully!
禪	1653	chán	meditation	A striking symbol for meditation that sings "Chahn? Zen?" cheerfully!
猿	1654	yuán	ape	This character represents ape, asking "Yuan? Primate?" curiously!
吊	1655	diào	dangle	Like a mouth, this character means dangle and shouts "Dyao!"!
帕	1656	pà	handkerchief	Like a white, this character means handkerchief and shouts "Pah!"!
帖	1657	tiē	note	"Tyeh!" Towel for fortune-telling sang cheerfully - a note, memo or invitation!
帆	1658	fān	sail	The strokes unite to show sail, asking "Fahn? Catching breeze?" curiously!
幅	1659	fú	width of cloth	A striking symbol for width of cloth that asks "Foo? Measure?" curiously!
錦	1660	jǐn	brocade	Picture a white beside metal: that's brocade, whispering "Jin" softly!
沛	1661	pèi	copious	Like water, this character means copious and shouts "Pay!"!
柿	1662	shì	persimmon	Like a tree, this character means persimmon and shouts "Shir!"!
鬧	1663	nào	stir up trouble	See how the gate forms stir up trouble? It shouts "Nao!" sharply!
棘	1664	jí	thorn bushes	"Jee, is it prickly?" Two thorns questioned curiously - thorn bushes and brambles!
棗	1665	zǎo	jujube	Picture jujube taking form - it whispers "Dzao" with vivid energy!
蕾	1666	lěi	flower bud	The strokes unite to show flower bud, whispering "Lay" softly!
吞	1667	tūn	gulp down	"Twun!" The mouth swallowed cheerfully - gulp down and devour!
妖	1668	yāo	bewitching	"Yao!" The woman died young cheerfully - bewitching, an enchanting demon!
沃	1669	wò	fertile	"Woh!" Water made dying young sharp - fertile, productive rich soil!
轎	1670	jiào	sedan chair	"Jyao!" Tall car commanded sharply - a sedan chair, palanquin or carriage!
垃	1671	lā	garbage	See how the soil forms garbage? It sings "Lah!" cheerfully - a vivid image to remember!
啼	1672	tí	weep aloud	"Tee, why cry?" The sovereign mouth questioned weeping aloud curiously - rooster crow and wail!
蒂	1673	dì	fruit stem	"Dee!" Sovereign flowers commanded sharply - fruit stem, plant base, clitoris!
滴	1674	dī	drip	The water stands for drip, singing "Dee!" cheerfully like ripples spreading across a pond!
頃	1675	qǐng	100 Chinese acres	Picture 100 chinese acres taking form - it whispers "Ching" with vivid energy!
匙	1676	chí	spoon	The box stands for spoon, asking "Chir? Utensil?" curiously!
乖	1677	guāi	well-behaved	A striking symbol for well-behaved that sings "Gwigh!" cheerfully!
乘	1678	chéng	hitch a ride	The wood stands for hitch a ride, asking "Chung? Board?" curiously!
剩	1679	shèng	leftover	See how the sword forms leftover? It shouts "Shung!" sharply!
棍	1680	gùn	club	The tree and stick unite to create club, shouting "Gwun!" sharply!
諧	1681	xié	in accord	An striking symbol for in accord that asks "Shyeh? Harmony?" curiously!
柴	1682	chái	firewood	The tree and wood unite to create firewood, asking "Chigh? Kindling?" curiously!
敏	1683	mǐn	quick-witted	The strokes unite to show quick-witted, asking "Min" curiously!
霉	1684	méi	mildew	Picture mildew taking form - it asks "May? Mold?" with vivid energy!
迄	1685	qì	so far	"Chee!" The road to beg commanded sharply - so far, until now!
砍	1686	kǎn	chop	The stone takes the shape of chop, whispering "Kahn" softly!
坎	1687	kǎn	hump	The soil stands for hump, whispering "Kahn" softly - a vivid image to remember!
炊	1688	chuī	cook	See how the fire forms cook? It sings "Chway!" cheerfully with flickering flames dancing high!
欽	1689	qīn	think highly of	The gold stands for think highly of, singing "Chin!" cheerfully!
剖	1690	pōu	cut open	"Poh!" Dividing with a sword sang cheerfully - cut open, dissect and split!
菩	1691	pú	bodhisattva	The heart stands for bodhisattva, asking "Poo? Enlightened?" curiously!
芒	1692	máng	mango	The strokes unite to show mango, asking "Mahng? Fruit?" curiously!
荒	1693	huāng	wasteland	See how the river forms wasteland? It sings "Hwahng!" cheerfully!
謊	1694	huǎng	lie	This character represents lie, whispering "Hwahng" softly - a vivid image to remember!
茫	1695	máng	boundless	When the people meets the water, they form boundless, asking "Mahng? Vast?" curiously!
贏	1696	yíng	win	See how the shellfish forms win? It asks "Ying? Victory?" curiously!
訊	1697	xùn	interrogate	The strokes unite to show interrogate, shouting "Shyoon!" sharply!
坊	1698	fáng	workshop	See how the soil forms workshop? It asks "Fahng? Workplace?" curiously!
芳	1699	fāng	aromatic	The strokes unite to show aromatic, singing "Fahng!" cheerfully!
訪	1700	fǎng	call on	This character represents call on, whispering "Fahng" softly!
熬	1701	áo	stew	"Ao, should we simmer?" Turkey on cooking fire questioned stewing curiously - boil and endure!
菸	1702	yān	tobacco	The strokes unite to show tobacco, singing "Yan!" cheerfully!
榜	1703	bǎng	roster	Like a tree, this character means roster and whispers "Bahng"!
磅	1704	bàng	pound	The stone stands for pound, shouting "Bahng!" sharply - a vivid image to remember!
膀	1705	bǎng	upper arm	The body takes the shape of upper arm, whispering "Bahng" softly!
銳	1706	ruì	sharp	The metal stands for sharp, shouting "Rway!" sharply - a vivid image to remember!
虹	1707	hóng	rainbow	The strokes unite to show rainbow, asking "Hohng? Arc?" curiously!
蝠	1708	fú	bat	The strokes unite to show bat, asking "Foo? Flying?" curiously!
蛙	1709	wā	frog	A striking symbol for frog that sings "Wah!" cheerfully - a vivid image to remember!
蝗	1710	huáng	locust	Picture locust taking form - it asks "Hwahng? Swarm?" with vivid energy!
蟬	1711	chán	cicada	A striking symbol for cicada that sings "Chahn? Singing?" cheerfully!
楓	1712	fēng	maple	The tree takes the shape of maple, singing "Fung!" cheerfully!
胞	1713	bāo	placenta	The body takes the shape of placenta, singing "Bao!" cheerfully!
炮	1714	pào	fireworks	The fire stands for fireworks, shouting "Pao!" sharply with flickering flames dancing high!
袍	1715	páo	robe	A striking symbol for robe that asks "Pao? Garment?" curiously!
雹	1716	báo	hail	The rain takes the shape of hail, asking "Bao? Ice?" curiously!
逐	1717	zhú	pursue	The strokes unite to show pursue, asking "Joo? Chase?" curiously!
遂	1718	suì	satisfy	"Sway!" Animal horns pursued sharply - to satisfy, accomplish and fulfill!
蒙	1719	méng	Mongolia	Picture mongolia taking form - it asks "Mung? Cover?" with vivid energy!
朦	1720	méng	dim	The moon takes the shape of dim, asking "Mung? Hazy?" curiously!
豪	1721	háo	unrestrained	The strokes unite to show unrestrained, asking "Hao? Bold?" curiously!
啄	1722	zhuó	peck	Like a mouth, this character means peck and asks "Jwoh? Bird strike?"!
琢	1723	zuó	chisel	The strokes unite to show chisel, asking "Dzwoh? Carve?" curiously!
嫁	1724	jià	marry	Picture marry taking form - it shouts "Jyah!" with vivid energy!
腸	1725	cháng	intestines	"Chahng, where are the guts?" Body questioned piggy bank curiously - intestines and bowels!
楊	1726	yáng	poplar	The tree stands for poplar, asking "Yahng, is that willow?" curiously!
燙	1727	tàng	scald	The fire and water unite to create scald, shouting "Tahng!" sharply!
蕩	1728	dàng	licentious	The strokes unite to show licentious, shouting "Dahng!" sharply!
詳	1729	xiáng	detailed	"Shyahng, is it thorough?" Words questioned piggy bank curiously - detailed and elaborate!
羨	1730	xiàn	envy	Like water, this character means envy and shouts "Shyan!" like ripples spreading across a pond!
唯	1731	wéi	soley	The mouth stands for soley, asking "Way? Only?" curiously spoken through parted lips!
堆	1732	duī	pile	Like soil, this character means pile and sings "Dway!" - a vivid image to remember!
焦	1733	jiāo	apprehensive	An striking symbol for apprehensive that sings "Jyao!" cheerfully!
瞧	1734	qiáo	lay eyes on	The eye takes the shape of lay eyes on, asking "Chyao? Look?" curiously!
礁	1735	jiāo	reef	"Jyao!" Stone with roast turkey sang cheerfully - a reef, rock or shoal!
蕉	1736	jiāo	banana	"Jyao!" Flower like roast turkey sang cheerfully - banana, a tropical fruit!
雕	1737	diāo	sculpture	The strokes unite to show sculpture, singing "Dyao!" cheerfully!
截	1738	jié	lop off	This character represents lop off, asking "Jyeh? Sever?" curiously!
准	1739	zhǔn	allow	The water takes the shape of allow, whispering "Jwun" softly!
雀	1740	què	sparrow	A striking symbol for sparrow that shouts "Chyueh!" sharply!
霍	1741	huò	all at once	The rain stands for all at once, shouting "Hwoh!" sharply - a vivid image to remember!
奮	1742	fèn	exert oneself	The field takes the shape of exert oneself, shouting "Fun!" sharply!
奪	1743	duó	take by force	This character represents take by force, asking "Dwoh? Seize?" curiously!
翹	1744	qiào	turn upward	"Chyao!" Tall feathers commanded sharply - turn upward, stick up, cut class!
